type	doc_id	status	title
ЗАК	Z2600000339	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Кабинетом Министров Кыргызской Республики о взаимном предоставлении в безвозмездное пользование зданий и земельных участков в городе Астане и городе Бишкеке для нужд Посольства Республики Казахстан в Кыргызской Республике и Посольства Кыргызской Республики в Республике Казахстан, а также резиденций Чрезвычайного и Полномочного Посла Республики Казахстан в Кыргызской Республике и Чрезвычайного и Полномочного Посла Кыргызской Республики в Республике Казахстан
ЗАК	Z2600000340	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам экологии и совершенствования отдельных отраслей экономики
ЗАК	Z2600000341	Новый	Об охране почв
ЗАК	Z2600000342	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам охраны почв, земельных отношений и агропромышленного комплекса
ЗАК	Z2600000343	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам нотариальной деятельности и юридической помощи
ЗАК	Z2600000334	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования социального законодательства
ЗАК	Z2600000335	Новый	Об обращении с радиоактивными отходами
ЗАК	Z2600000336	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам обращения с радиоактивными отходами, энергетики и развития атомной отрасли
ЗАК	Z2600000337	Новый	О внесении изменений и дополнений в Кодекс Республики Казахстан "О недрах и недропользовании" по вопросам обращения с радиоактивными отходами и совершенствования регулирования операций по недропользованию
ЗАК	Z2600000332	Новый	О психологической деятельности
ЗАК	Z2600000333	Новый	О внесении изменений и дополнений в Кодекс Республики Казахстан "О таможенном регулировании в Республике Казахстан"
ЗАК	Z2600000329	Новый	Об амнистии в связи с принятием новой Конституции Республики Казахстан
ЗАК	Z2600000330	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам исполнительного производства и статуса судебных исполнителей и профилактики правонарушений
ЗАК	Z2600000331	Новый	О внесении изменений и дополнений в Уголовный кодекс Республики Казахстан, Уголовно-процессуальный кодекс Республики Казахстан и Кодекс Республики Казахстан об административных правонарушениях
ЗАК	Z2600000327	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Российской Федерации о предоставлении Правительству Республики Казахстан государственного экспортного кредита для финансирования строительства атомной электростанции на территории Республики Казахстан
ЗАК	Z2600000328	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Российской Федерации об основных принципах и условиях сотрудничества по проекту строительства атомной электростанции на территории Республики Казахстан
ЗАК	Z2600000321	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам науки, наукоемких территорий, социального обеспечения, образования, здравоохранения и воинской службы
ЗАК	Z2600000322	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам газоснабжения и электроэнергетики
ЗАК	Z2600000323	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования правового положения военнослужащих, обороны и воинской службы
ЗАК	Z2600000324	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам развития машиностроения и транспорта
ЗАК	Z2600000325	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования исполнительного производства
ЗАК	Z2600000326	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам цифровизации, защиты персональных данных, дорожного движения и регулирования передовых технологий на транспорте
ЗАК	Z2600000317	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам животного мира, лесного и охотничьего хозяйства и предпринимательства
ЗАК	Z2600000318	Новый	О внесении изменений и дополнений в Уголовный кодекс Республики Казахстан и Кодекс Республики Казахстан об административных правонарушениях
ЗАК	Z2600000319	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам племенного животноводства и пчеловодства
ЗАК	Z2600000320	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам развития рынка телекоммуникаций и центров обработки данных
ЗАК	Z2600000313	Новый	О снятии оговорки и заявления Республики Казахстан к Конвенции о привилегиях и иммунитетах специализированных учреждений
ЗАК	Z2600000314	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Организацией Объединенных Наций о создании в Республике Казахстан Регионального центра Организации Объединенных Наций по целям устойчивого развития для Центральной Азии и Афганистана
ЗАК	Z2600000315	Новый	О ратификации Меморандума о взаимопонимании между Правительством Республики Казахстан и Организацией Объединенных Наций относительно Регионального центра Организации Объединенных Наций по целям в области устойчивого развития для Центральной Азии и Афганистана
ЗАК	Z2600000316	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Республики Узбекистан о режиме казахстанско-узбекской государственной границы
ЗАК	Z2600000309	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам статуса педагога, образования, здравоохранения и защиты прав ребенка
ЗАК	Z2600000310	Новый	О внесении изменений в Кодекс Республики Казахстан об административных правонарушениях по вопросам статуса педагога
ЗАК	Z2600000311	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам противодействия коррупции
ЗАК	Z2600000312	Новый	О внесении изменений и дополнений в Уголовный кодекс Республики Казахстан, Уголовно-процессуальный кодекс Республики Казахстан и Кодекс Республики Казахстан об административных правонарушениях по вопросам противодействия коррупции
ЗАК	Z2600000306	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам приведения их в соответствие с Конституцией Республики Казахстан, совершенствования законодательства Республики Казахстан о выборах, прокуратуре и социальном обеспечении
ЗАК	Z2600000307	Новый	О внесении изменений и дополнений в Уголовный, Уголовно-процессуальный, Уголовно-исполнительный кодексы Республики Казахстан и Кодекс Республики Казахстан об административных правонарушениях по вопросам приведения их в соответствие с Конституцией Республики Казахстан, совершенствования законодательства Республики Казахстан о выборах и прокуратуре
ЗАК	Z2600000308	Новый	О внесении изменений в Налоговый кодекс Республики Казахстан
ЗАК	Z2600000301	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам деятельности специальных государственных органов Республики Казахстан
ЗАК	Z2600000302	Новый	О внесении изменений и дополнений в Кодекс Республики Казахстан об административных правонарушениях
ЗАК	Z2600000303	Новый	О ратификации Соглашения о единой системе таможенного транзита Евразийского экономического союза и третьей стороны (третьих сторон)
ЗАК	Z2600000304	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Султаната Оман об избежании двойного налогообложения и предотвращении уклонения от налогообложения в отношении налогов на доход и капитал и Протокола к нему
ЗАК	Z2600000295	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования трудового законодательства
ЗАК	Z2600000290	Обновленный	О государственной службе Республики Казахстан
ЗАК	Z2600000292	Обновленный	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам ответственного обращения с животными
ЗАК	Z2600000291	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам государственной службы
ЗАК	Z2600000293	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Китайской Народной Республики о поощрении и взаимной защите инвестиций
ЗАК	Z2600000294	Новый	О ратификации Меморандума о взаимопонимании между Республикой Казахстан и Международным Валютным Фондом касательно Регионального центра развития потенциала для Кавказа, Центральной Азии и Монголии
ЗАК	Z2600000289	Новый	О внесении изменений и дополнения в Закон Республики Казахстан "О государственных наградах Республики Казахстан"
ЗАК	Z2600000287	Новый	О ратификации Соглашения о стратегическом партнерстве и сотрудничестве между Республикой Казахстан и Соединенным Королевством Великобритании и Северной Ирландии
ЗАК	Z2600000288	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Турецкой Республики о транзите военного имущества и персонала через воздушное пространство Республики Казахстан и Турецкой Республики
ЗАК	Z2600000285	Новый	О ратификации Договора о союзнических отношениях между Республикой Казахстан и Республикой Таджикистан
ЗАК	Z2600000283	Новый	О ратификации Соглашения о взаимодействии государств – участников СНГ при обмене данными мониторинга радиационной обстановки
ЗАК	Z2600000284	Новый	О ратификации Соглашения о стратегическом партнерстве в области производства и передачи зеленой энергии между Азербайджанской Республикой, Республикой Казахстан и Республикой Узбекистан
ЗАК	Z2600000280	Новый	О ратификации Договора между Республикой Казахстан и Республикой Перу о взаимной правовой помощи по уголовным делам
ЗАК	Z2600000281	Новый	О ратификации Договора между Республикой Казахстан и Республикой Перу о передаче осужденных лиц
ЗАК	Z2600000282	Новый	О ратификации Договора между Республикой Казахстан и Республикой Перу о выдаче
ЗАК	Z2600000278	Новый	О ратификации Протокола о внесении изменений в Конвенцию о правовой помощи и правовых отношениях по гражданским, семейным и уголовным делам от 22 января 1993 года
ЗАК	Z2600000279	Новый	О ратификации Протокола о внесении изменений в Конвенцию о правовой помощи и правовых отношениях по гражданским, семейным и уголовным делам от 7 октября 2002 года
ЗАК	Z2600000275	Новый	О ратификации Рамочного соглашения о партнерстве между Правительством Республики Казахстан с одной стороны и Международным Банком Реконструкции и Развития, Международной Финансовой Корпорацией и Многосторонним Агентством Гарантии Инвестиций с другой стороны по расширению сотрудничества в целях содействия устойчивому развитию и росту Республики Казахстан
ЗАК	Z2600000276	Исправление ошибки	О ратификации Протокола, касающегося изменения статьи 50 а) Конвенции о международной гражданской авиации, и Протокола, касающегося изменения статьи 56 Конвенции о международной гражданской авиации
ЗАК	Z2600000277	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования безопасных условий труда, защиты трудовых прав работников и социального обеспечения
ЗАК	Z2600000272	Новый	О ратификации Соглашения о гармонизированной системе определения происхождения товаров, вывозимых с таможенной территории Евразийского экономического союза
ЗАК	Z2600000273	Исправление ошибки	О ратификации Протокола о внесении изменений в Соглашение о принципах и подходах осуществления государственного контроля (надзора) за соблюдением требований технических регламентов Евразийского экономического союза в целях гармонизации законодательства государств – членов Евразийского экономического союза в указанной сфере от 16 февраля 2021 года
ЗАК	Z2600000274	Новый	О ратификации Соглашения о создании Механизма гражданской защиты Организации тюркских государств
ЗАК	Z2600000271	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Федеральным Правительством Австрийской Республики о реадмиссии и транзите лиц с незаконным пребыванием
ЗАК	Z2600000269	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Китайской Народной Республики о реализации проектов в области возобновляемых источников энергии
ЗАК	Z2600000270	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам поддержки туристской отрасли и детского спорта
ЗАК	Z2600000267	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Кыргызской Республики об урегулировании прав собственности Республики Казахстан на объекты курортно-рекреационного хозяйства, расположенные на территории Иссык-Кульской области Кыргызской Республики, от 4 июля 2006 года и Протокола о внесении изменений и дополнений в Соглашение между Правительством Республики Казахстан и Правительством Кыргызской Республики об урегулировании прав собственности Республики Казахстан на объекты курортно-рекреационного хозяйства, расположенные на территории Иссык-Кульской области Кыргызской Республики, от 4 июля 2006 года
ЗАК	Z2600000268	Новый	О ратификации Договора между Правительством Республики Казахстан и Правительством Кыргызской Республики о предоставлении в аренду земельных участков в Иссык-Кульском районе Иссык-Кульской области Кыргызской Республики от 1 декабря 2009 года и Протокола о внесении изменений и дополнений в Договор между Правительством Республики Казахстан и Правительством Кыргызской Республики о предоставлении в аренду земельных участков в Иссык-Кульском районе Иссык-Кульской области Кыргызской Республики от 1 декабря 2009 года
ЗАК	Z2600000266	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам поддержки и развития креативных индустрий
ЗАК	Z2600000264	Новый	О ратификации Рамочного соглашения об организации операций в частном секторе между Правительством Республики Казахстан и Фондом международного развития ОРЕС
ЗАК	Z2600000265	Новый	О ратификации Временного торгового соглашения между Евразийским экономическим союзом и его государствами-членами, с одной стороны, и Монголией, с другой стороны
ЗАК	Z2600000263	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам охранной деятельности, жилищных отношений и правоохранительной службы
ЗАК	Z2600000261	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Монголии о сотрудничестве в пенсионной сфере
ЗАК	Z2600000262	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Французской Республики о реадмиссии лиц
ЗАК	Z2600000260	Новый	О ратификации Азиатско-Тихоокеанской региональной конвенции о признании квалификаций в области высшего образования
ЗАК	Z2600000258	Обновленный	О банках и банковской деятельности в Республике Казахстан
ЗАК	Z2600000259	Обновленный	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам регулирования и развития финансового рынка, связи и банкротства
ЗАК	Z2600000256	Обновленный	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам цифровизации, транспорта и предпринимательства
ЗАК	Z2600000254	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам архитектуры, градостроительства и строительства
ЗАК	Z2600000257	Новый	О внесении изменений и дополнений в Кодекс Республики Казахстан об административных правонарушениях
ЗАК	Z2600000251	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам исполнения решений Конституционного Суда Республики Казахстан и возврата государству незаконно приобретенных активов
ЗАК	Z2600000252	Новый	О внесении дополнений в Уголовный кодекс Республики Казахстан и Уголовно-процессуальный кодекс Республики Казахстан
ЗАК	Z2500000245	Обновленный	О профилактике правонарушений
ЗАК	Z2500000247	Обновленный	О внесении изменений и дополнений в Кодекс Республики Казахстан об административных правонарушениях
ЗАК	Z2500000246	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам профилактики правонарушений и совершенствования отдельных отраслей законодательства Республики Казахстан
ЗАК	Z2500000248	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам архивного дела и ограничения распространения противоправного контента
ЗАК	Z2500000249	Новый	О внесении изменений и дополнений в Кодекс Республики Казахстан "О недрах и недропользовании" по реализации поручений Главы государства
ЗАК	Z2500000250	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Организацией Объединенных Наций по вопросам образования, науки и культуры (ЮНЕСКО) о возобновлении статуса Центрально-Азиатского регионального гляциологического центра в Казахстане в качестве центра категории 2 под эгидой ЮНЕСКО
ЗАК	Z2500000242	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам охраны объектов историко-культурного наследия и образовательно-оздоровительных услуг
ЗАК	Z2500000243	Новый	О внесении изменений и дополнений в Кодекс Республики Казахстан "О недрах и недропользовании" по вопросам совершенствования недропользования в сфере углеводородов и урана
ЗАК	Z2500000244	Новый	О внесении изменения и дополнений в Кодекс Республики Казахстан "О налогах и других обязательных платежах в бюджет" (Налоговый кодекс)
ЗАК	Z2500000241	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам административной юстиции, нормотворчества и организации юридической помощи
ЗАК	Z2500000240	Новый	О ратификации Протокола по проблемам воды и здоровья к Конвенции по охране и использованию трансграничных водотоков и международных озер 1992 года
ЗАК	Z2500000238	Новый	Об объемах трансфертов общего характера между республиканским и областными бюджетами, бюджетами городов республиканского значения, столицы на 2026 – 2028 годы
ЗАК	Z2500000239	Новый	О республиканском бюджете на 2026 – 2028 годы
ЗАК	Z2500000236	Обновленный	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам культуры, образования, семьи и государственного контроля
ЗАК	Z2500000237	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Российской Федерации о функционировании Костанайского филиала федерального государственного бюджетного образовательного учреждения высшего образования "Челябинский государственный университет"
ЗАК	Z2500000235	Новый	О ратификации Соглашения о трансграничных перевозках радиоактивных материалов в государствах – участниках Содружества Независимых Государств
ЗАК	Z2500000234	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Туркменистана о сотрудничестве в борьбе с преступностью
ЗАК	Z2500000233	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам интеллектуальной собственности
ЗАК	Z2500000230	Обновленный	Об искусственном интеллекте
ЗАК	Z2500000231	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам искусственного интеллекта и цифровизации
ЗАК	Z2500000232	Новый	О внесении изменений и дополнений в Кодекс Республики Казахстан об административных правонарушениях
ЗАК	Z2500000227	Новый	О ратификации Соглашения между Республикой Казахстан и Королевством Марокко о выдаче
ЗАК	Z2500000228	Новый	О ратификации Соглашения между Республикой Казахстан и Королевством Марокко о передаче осужденных лиц
ЗАК	Z2500000229	Новый	О ратификации Соглашения между Республикой Казахстан и Королевством Марокко о взаимной правовой помощи по уголовным делам
ЗАК	Z2500000226	Новый	О ратификации Соглашения об образовании Международного центра оценки рисков легализации (отмывания) доходов, полученных преступным путем, и финансирования терроризма
ЗАК	Z2500000224	Новый	О ратификации Конвенции об установлении минимальной заработной платы с особым учетом развивающихся стран (Конвенция 131)
ЗАК	Z2500000225	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Государства Катар о регулировании трудоустройства работников из Республики Казахстан в Государстве Катар
ЗАК	Z2500000222	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Республики Армения о сотрудничестве в области миграции
ЗАК	Z2500000223	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Республики Армения о поездках и порядке пребывания граждан
ЗАК	Z2500000221	Новый	О ратификации Протокола о внесении изменений в Договор о Таможенном кодексе Евразийского экономического союза от 11 апреля 2017 года
ЗАК	Z2500000220	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования системы государственной поддержки отрасли инновационной деятельности и государственной статистики
ЗАК	Z2500000219	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам противодействия легализации (отмыванию) доходов, полученных преступным путем, финансированию терроризма и финансированию распространения оружия массового уничтожения
ЗАК	Z2500000217	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Туркменистана о взаимном поощрении и защите инвестиций
ЗАК	Z2500000218	Новый	О ратификации Протокола о внесении изменений в Соглашение между Правительством Республики Казахстан и Правительством Российской Федерации о создании на космодроме "Байконур" космического ракетного комплекса "Байтерек" от 22 декабря 2004 года
ЗАК	Z2500000216	Новый	О ратификации Договора об углублении и расширении союзнических отношений между Республикой Казахстан и Кыргызской Республикой
ЗАК	Z2500000215	Обновленный	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам налогообложения
